ubicacion,sku,descripcion,cantidad,capacidad,vencimiento,proveedor,categoria,peso,ingreso,destino,orden
R01-B01-L1A,FCL-001,Filtro de aceite G1,32,50,2026-12-15,Mann Filter,Filtros,0.35,2026-03-10,,
R01-B01-L1B,FCL-002,Filtro de aceite G2,18,50,2026-11-20,Mann Filter,Filtros,0.42,2026-04-05,,
R01-B01-L2A,FCL-003,Filtro de aire cilíndrico,25,50,2027-01-10,Bosch,Filtros,0.28,2026-02-15,,
R01-B01-L2B,FRN-001,Pastilla de freno delantera,12,50,2026-07-18,Bosch,Frenos,1.20,2026-01-20,,
R01-B01-L3A,FRN-002,Pastilla de freno trasera,8,50,2026-07-18,Bosch,Frenos,1.15,2026-01-20,,
R01-B02-L1A,LUB-001,Aceite motor 5W30 1L,40,50,2027-06-30,Shell,Lubricantes,0.95,2026-05-01,,
R01-B02-L1B,LUB-002,Aceite motor 10W40 1L,36,50,2027-08-15,Shell,Lubricantes,0.95,2026-05-01,,
R01-B02-L2A,ELC-001,Bujía de encendido Iridium,48,50,2028-03-20,NGK,Encendido,0.05,2026-06-10,,
R01-B02-L2B,ELC-004,Bobina de encendido,6,50,2027-04-10,Denso,Encendido,0.55,2026-03-25,,
R01-B03-L1A,SUS-001,Amortiguador delantero,4,50,2027-10-05,Monroe,Suspensión,3.20,2026-02-28,,
R01-B03-L1B,SUS-002,Amortiguador trasero,3,50,2027-10-05,Monroe,Suspensión,3.00,2026-02-28,,
R01-B03-L2A,BAT-001,Batería 12V 60Ah,7,50,2026-08-10,Moura,Baterías,12.50,2026-01-15,,
R01-B03-L2B,BAT-002,Batería 12V 75Ah,5,50,2026-09-22,Heliar,Baterías,14.00,2026-01-15,,
R01-B04-L1A,TUR-001,Turbo cargador GT17,2,50,2028-01-30,Garrett,Turbo,6.20,2026-04-18,,
R01-B04-L1B,ESC-001,Escobilla limpiaparabrisas 20",45,50,2027-11-10,Bosch,Limpieza,0.12,2026-06-01,,
R01-B04-L2A,ESC-003,Líquido limpiaparabrisas 1L,30,50,2027-12-01,Sonax,Limpieza,1.05,2026-05-20,,
R01-B04-L2B,ILM-001,Farol delantero LED H7,22,50,2028-06-15,Philips,Iluminación,0.18,2026-03-05,,
R02-B01-L1A,RAD-001,Radiador de aluminio,9,50,2027-05-20,Valeo,Refrigeración,2.40,2026-02-10,,
R02-B01-L1B,RAD-003,Manguera inferior radiador,35,50,2027-08-12,Dayco,Refrigeración,0.22,2026-04-22,,
R02-B01-L2A,EMB-001,Disco de embrague 200mm,6,50,2028-02-28,Sachs,Embrague,2.10,2026-05-10,,
R02-B01-L2B,ROD-001,Rodamiento rueda delantera,18,50,2028-04-15,SKF,Rodamientos,0.55,2026-06-15,,
R02-B02-L1A,EJE-001,Cruceta de cardán,10,50,2027-09-30,Spicer,Transmisión,0.90,2026-03-20,,
R02-B02-L1B,COR-001,Correa de distribución,15,50,2026-05-28,Contitech,Distribución,0.40,2025-12-01,,
R02-B02-L2A,COR-003,Bomba de agua,7,50,2027-07-15,Gates,Distribución,1.10,2026-04-01,,
R02-B02-L2B,SUS-003,Brazo de suspensión,5,50,2027-11-20,Lemförder,Suspensión,2.80,2026-02-15,,
R02-B03-L1A,ILM-002,Farol trasero LED P21,50,50,2028-07-30,Osram,Iluminación,0.08,2026-06-20,,
R02-B03-L1B,EMP-001,Empaque de tapa válvulas,40,50,2028-01-10,Victor Reinz,Empaques,0.08,2026-05-05,,
R02-B03-L2A,EMP-002,Empaque de múltiple admisión,38,50,2028-01-10,Victor Reinz,Empaques,0.06,2026-05-05,,
R02-B03-L2B,ELC-002,Bujía de encendido Cobre,50,50,2028-05-25,Bosch,Encendido,0.05,2026-06-10,,
R03-B01-L1A,FRN-003,Disco de freno 280mm,4,50,2027-03-18,Brembo,Frenos,5.80,2026-01-30,,
R03-B01-L1B,ESC-002,Escobilla limpiaparabrisas 22",42,50,2027-11-10,Bosch,Limpieza,0.14,2026-06-01,,
R03-B01-L2A,ELC-003,Cable de bujía juego x4,20,50,2028-02-10,Bosch,Encendido,0.30,2026-04-15,,
R03-B01-L2B,COR-002,Tensor de correa,12,50,2027-06-25,INA,Distribución,0.65,2026-03-01,,
R03-B02-L1A,ROD-002,Rodamiento rueda trasera,16,50,2028-04-15,FAG,Rodamientos,0.60,2026-06-15,,
R03-B02-L1B,LUB-003,Aceite transmisión 75W90,28,50,2027-10-10,Castrol,Lubricantes,1.00,2026-05-01,,
R03-B02-L2A,TUR-002,Kit junta turbo,14,50,2028-03-01,Garrett,Turbo,0.08,2026-04-18,,
R03-B02-L2B,RAD-002,Termostato 82°C,25,50,2027-04-30,Vernet,Refrigeración,0.15,2026-03-05,,
R03-B03-L1A,EMB-002,Plato presión de embrague,6,50,2028-02-28,Valeo,Embrague,2.80,2026-05-10,,
R03-B03-L1B,LUB-004,Grasa multipropósito 400g,30,50,2027-09-05,SKF,Lubricantes,0.42,2026-04-20,,
R03-B03-L2A,ILM-003,Lámpara interior LED,50,50,2028-09-10,Philips,Iluminación,0.04,2026-06-25,,
